t,ip,ne,te,ti,we,wi,nbi,ech,pOhm,pLoss,pRad,tauE,pressure,beta,energyError,particleError
0,0.4,3,0.5,0.5,0.08330901286122848,0.08330901286122848,0,0,0.0596485435172643,1.4174683278782707,0.007859832534904585,0.11754620716771723,4806.529901999999,0.30200318058765735,0,0
0.02,0.41600000000000004,3.0272534443744012,0.42477556394380744,0.4185233399039945,0.07141822242967355,0.07036702559761053,0,0,0.08239146802260486,1.1714225604682669,0.007376716750446002,0.12103680841745658,4090.1639024388865,0.25699257735760334,8.73369802893153e-17,9.452781062902003e-17
0.04,0.43200000000000005,3.054168130578356,0.3659446539028998,0.35261431561433776,0.06207390646117414,0.05981272799280507,0,0,0.11111667843688176,0.9790311248570357,0.00696914285551963,0.12449720071134394,3516.136688194071,0.2209253837729608,4.366849014465765e-17,-5.3171893478823765e-17
0.06,0.448,3.0807482693492836,0.3207701688054897,0.2991641426170367,0.054884652054237384,0.05118780195734743,0,0,0.14561292855723015,0.829152450289697,0.006638885736587734,0.12792877108971243,3059.935560840614,0.19226142156790074,2.620109408679459e-16,-9.452781062902003e-17
0.08,0.464,3.1069980190854682,0.2870623893194764,0.2557971075541179,0.049535665397598384,0.04414050882636672,0,0,0.18450425474899185,0.7132733346287483,0.006387867241334667,0.13133278601074105,2702.332659147357,0.16979256859066216,2.620109408679459e-16,-3.544792898588251e-16
0.1,0.48000000000000004,3.132921486496632,0.26292089219586645,0.22067559280205162,0.045748339781490024,0.0383976408899038,0,0,0.22525772634955754,0.6246435103268839,0.006215804584392014,0.13471040566379883,2427.409462310393,0.15251863468097362,3.493479211572612e-16,-4.608230768164726e-16
0.12,0.496,3.1585227272464174,0.2465721611317627,0.1923515707801082,0.04325424912973134,0.03374274989045464,0,0,0.26483913332730596,0.5576958957693189,0.006118230215844161,0.13806269618314432,2221.1785102487124,0.13956076180217752,5.240218817358918e-16,-4.371911241592176e-16
0.14,0.512,3.183805746586885,0.23633499819694828,0.16965617301337196,0.04179028486931093,0.029999703193166197,0,0,0.3007341377047131,0.5077421532205807,0.006086153838768879,0.1413906401253415,2070.968748971389,0.1301228041516512,4.366849014465765e-16,-7.207745560462777e-16
0.16,0.528,3.208774499985131,0.23068652966301648,0.15162342290508093,0.041111390198158064,0.027021299038729532,0,0,0.331641872754799,0.47087059486771116,0.0061076662108946215,0.14469514550176818,1965.464461007807,0.12349377423187899,4.366849014465765e-16,-5.671668637741201e-16
0.18,0.544,3.2334328937421017,0.22834911173484473,0.1374426208568942,0.04100755802483451,0.024682321761860266,0,0,0.35746512455636065,0.4439193657927563,0.006170397589701754,0.1479770536015815,1894.9952748778605,0.11906606468287316,5.240218817358918e-16,-7.089585797176502e-16
0.2,0.56,3.2577847856037345,0.2283317723777434,0.1264304641037223,0.041313260168827366,0.02287572422528002,0,0,0.3788448604402891,0.424426049936516,0.006263451756075634,0.15123714579656108,1851.698047264192,0.11634561963903503,6.986958423145224e-16,-6.616946744031401e-16
0.22,0.5760000000000001,3.2818339853644836,0.22991370002876008,0.11801356569609843,0.04190657697984546,0.021510438807652424,0,0,0.3966729247688998,0.41052949597152905,0.006378248311456121,0.1544761494845086,1829.4286068781046,0.11494638943270527,8.73369802893153e-16,-9.689100589474552e-16
0.24,0.592,3.3055842554633634,0.23259357478611214,0.11171491516402565,0.04270184838666724,0.02050973838916402,0,0,0.4117956083034822,0.40084777369839475,0.006508502868713046,0.15769474330021555,1823.5024732378063,0.11457403947453422,6.986958423145224e-16,-9.216461536329453e-16
0.26,0.608,3.3290393115725614,0.23603176276554497,0.1071413454860908,0.04364053870351174,0.01980964756458028,0,0,0.42489962837859346,0.39436125098698877,0.00664980413165402,0.1608935617008311,1830.3854955829615,0.11500651252321491,8.73369802893153e-16,-1.0161739642619652e-15
0.28,0.624,3.352202823178756,0.24000062560418442,0.10397137266880972,0.044683109771991504,0.01935730061706999,0,0,0.4365012444382578,0.3903160953384995,0.006799117446512703,0.16407319901456485,1847.4120440252475,0.11607632211326044,1.0480437634717836e-15,-1.0634378695764753e-15
0.3,0.64,3.3750784141571932,0.24434739014981396,0.10194369967460419,0.04580282885450278,0.019109309193471986,0,0,0.4469750260488897,0.38815106593914117,0.006954363198014248,0.16723421302713218,1872.5592934948008,0.1176563703970912,1.2227177240504141e-15,-1.0161739642619652e-15
0.32,0.656,3.3976696633386347,0.24896848186023826,0.10084680044706214,0.046981432333422155,0.01903022862912212,0,0,0.4565895731751751,0.38744438101611034,0.007114105017161496,0.170377128168493,1904.277889030291,0.11964930853142083,1.0480437634717836e-15,-8.980142009756902e-16
0.34,0.672,3.419980105069257,0.25379253748802344,0.10050983494163933,0.04820622872644606,0.01909118424210031,0,0,0.46553800555578456,0.387875891586856,0.00727733495220283,0.1735024383526983,1941.3687466167319,0.121979795845599,8.73369802893153e-16,-1.0398059169192203e-15
0.36,0.688,3.442013229763593,0.2587694090656143,0.10079495364273114,0.0494682103393894,0.019268683983752217,0,0,0.4739607116342579,0.3892002553620983,0.007443330770093124,0.17661060951563667,1982.8943267226844,0.1245889249935373,1.0480437634717836e-15,-9.452781062902001e-16
0.38,0.704,3.463772484450595,0.26386310322733436,0.10159091545946163,0.05076083449131701,0.019543617816910816,0,0,0.48196132219646454,0.3912278119945656,0.0076115627141726235,0.17970208188881112,2028.1146100369658,0.12743019919060522,8.73369802893153e-16,-8.034863903466702e-16
0.4,0.72,3.4852612733129185,0.2690472388858718,0.1028078722613658,0.05207923659572437,0.019900429105217013,0,0,0.4896176343393583,0.39381081081296904,0.00778163277820953,0.18277727204174285,2076.4404933223736,0.1304666039887587,1.0480437634717836e-15,-7.089585797176502e-16
0.42,0.736,3.506482958219496,0.27430209821132034,0.10437314893886769,0.05341971806787371,0.020326436533034155,0,0,0.4969890288518852,0.3968333720724272,0.007953234928566384,0.18583657472095935,2127.399455790116,0.13366845003122307,1.0480437634717836e-15,-5.671668637741201e-16
0.44,0.752,3.527440859251492,0.2796126841660932,0.10622785084080025,0.05477940858283659,0.020811283513262245,0,0,0.5041215301832416,0.4002040778158419,0.008126128728482139,0.18888036450963572,2180.6099327931493,0.1370117629041578,8.73369802893153e-16,-6.616946744031401e-16
0.46,0.768,3.5481382552217258,0.28496741754958754,0.10832414694199201,0.05615603941330741,0.02134649328472399,0,0,0.5110513001226822,0.4038504383684291,0.008300121555169885,0.19190899732867578,2235.7619427944774,0.1404770658931755,1.2227177240504141e-15,-6.616946744031401e-16
0.48,0.784,3.568578384187629,0.29035724487486336,0.11062309859879414,0.05754778823294296,0.021925110408658854,0,0,0.5178070899329803,0.4077147149111942,0.00847505637429601,0.19492281179724427,2292.602268351025,0.14404844887709753,1.346465875138039e-15,-7.089585797176502e-16
0.5,0.8,3.5887644439578352,0.29577501419880525,0.11309292558796942,0.058953170548196314,0.022541412255670402,0,0,0.524411993556413,0.4117507355594963,0.0086508031575187,0.197922130468401,2350.9230012740795,0.14771284859915834,1.2699693269104974e-15,-3.781112425160801e-16
0.52,0.8160000000000001,3.608699592592468,0.30121502891213764,0.11570762105395153,0.06037096208165359,0.023190676867733708,0,0,0.5308847249816577,0.41592144829815547,0.008827252729021228,0.20090726095348108,2410.552606951363,0.15145948722180255,1.2008862733519358e-15,-9.452781062902003e-17
0.54,0.8320000000000001,3.628386948897211,0.3066727221143269,0.11844584416270358,0.06180014210347527,0.023868996076189326,0,0,0.5372405658814056,0.42019702647638574,0.009004312263021098,0.20387849694714355,2471.3488984981336,0.1552794308795793,8.536624174613489e-16,0
0.56,0.8480000000000001,3.6478295929112377,0.31214441443008545,0.12129003356069085,0.06323985123670021,0.02457312488796907,0,0,0.5434920803473797,0.42455339270429066,0.009181901926594184,0.20683611916353867,2533.19347469586,0.15916524020452233,1.0811297049175277e-15,-3.781112425160801e-16
0.58,0.8639999999999999,3.6670305663890805,0.3176271307923613,0.12422569639282911,0.06468935947550966,0.02530035992203884,0,0,0.5496496619104931,0.4289710622667227,0.009359952333587634,0.20978039619277467,2595.9872905792586,0.1631106920179254,7.716980939663835e-16,-4.253751478305901e-16
0.6,0.8799999999999999,3.6859928732765,0.32311845974957953,0.1272408370034308,0.06614804155957624,0.026048441121876077,0,0,0.555721957541034,0.43343423235546724,0.00953840258453509,0.21271158528577022,2659.647111686416,0.16711055654430715,7.357756097987688e-16,-1.8905562125804005e-16
0.62,0.8959999999999999,3.704719480180446,0.3286164440262348,0.13032549691145315,0.0676153577508366,0.026815472134498405,0,0,0.5617161998723273,0.43793006165174303,0.009717198737964755,0.21562993307463243,2724.102662641037,0.17116041825154957,7.0270717486286e-16,-9.452781062902003e-17
0.64,0.912,3.723213316833179,0.33411949445249506,0.13347138356985241,0.06909083864950523,0.02759985567936392,0,0,0.5676384699156802,0.4424480981537684,0.009896292604756328,0.2185356762348773,2789.2943246788946,0.1752565311822184,6.721746941964602e-16,0
0.66,0.928,3.741477276550617,0.33962632163757617,0.1366715700949292,0.07057407307906129,0.0284002409742626,0,0,0.5734939064342973,0.44697982304786466,0.010075640788125928,0.22142904209509534,2855.17126952202,0.17939570170142044,8.585401147649901e-16,-1.8905562125804005e-16
0.68,0.9440000000000001,3.759514216684989,0.3451358812979355,0.1399202518401944,0.07206469833633251,0.02921548087694468,0,0,0.5792868739174981,0.45151828583368203,0.010255203912882718,0.22431024919904133,2921.689941755944,0.1835751931417533,1.0294377655968396e-15,-1.8905562125804005e-16
0.7000000000000001,0.9600000000000001,3.7773269590718597,0.35064733021655375,0.14321254859770266,0.07356239228690294,0.030044596871292538,0,0,0.5850210981115921,0.4560578115091088,0.01043494600222722,0.22717950782458232,2988.812820736338,0.18779264801160536,9.887382966795834e-16,-2.8358343188706004e-16
0.72,0.976,3.7949182904716,0.35615999056235714,0.1465443435038441,0.07506686691575355,0.030886750400262966,0,0,0.5906997759163702,0.46059376487554043,0.010614833970712056,0.23003702046345942,3056.507407564717,0.192046024344962,1.3310917363830376e-15,-4.726390531451001e-16
0.74,0.992,3.8122909630053714,0.3616733208405655,0.149912151537738,0.0765778630360922,0.03174121934463461,0,0,0.596325664884596,0.46512236028170756,0.010794837209443287,0.23288298226540197,3124.7453939192387,0.1963335434775045,1.2814233896705983e-15,-5.671668637741201e-16
0.76,1.008,3.8294476945856815,0.36718689214126377,0.15331301193220787,0.07809514592726535,0.03260737868275567,0,0,0.6019011563937984,0.46964050763271564,0.010974927245065921,0.2357175814497595,3193.5019782991017,0.2006536470849786,1.4113243419309063e-15,-2.8358343188706004e-16
0.78,1.024,3.8463911693416004,0.3727003686482318,0.15674439995114603,0.07961850172305138,0.03348468455465312,0,0,0.6074283356794654,0.47414568743267227,0.011155077458144091,0.2385409996874957,3262.7553021232993,0.2050049617522341,8.50904163806338e-16,0
0.8,1.04,3.863124038038687,0.37821349159223727,0.1602041543865864,0.08114773440958727,0.034372661104038874,0,0,0.6129090312474275,0.47863584913944046,0.011335262849615647,0.24135341245609815,3332.4859835514967,0.2093862696823268,8.21603316419123e-16,-9.452781062902003e-17
0.8200000000000001,1.056,3.8796489184936886,0.38372606600253356,0.16369041784384394,0.08268266332113353,0.0352708895918185,0,0,0.6183448556658986,0.4831093282896013,0.01151545984634519,0.24415498936970315,3402.6767311937324,0.21379648442518323,9.528199193030737e-16,-1.8905562125804005e-16
0.84,1.072,3.8959683959841014,0.3892379497411115,0.16720158745266925,0.08422312104422672,0.03617899937089728,0,0,0.623737239335374,0.48756477877667764,0.011695646138610771,0.24694589448650994,3473.3120232950764,0.21823463072017826,1.0752037066340403e-15,-9.452781062902003e-17
0.86,1.088,3.9120850236526206,0.39474904440611663,0.17073627409706987,0.08576895165818961,0.037096660389291346,0,0,0.629087458519406,0.49200111739364283,0.01187580054377047,0.24972628659535748,3544.377840711341,0.22269982771850408,1.0408090633401663e-15,-3.781112425160801e-16
0.88,1.104,3.928001322906583,0.40025928777086617,0.1742932686202313,0.08732000925367546,0.038023576950660117,0,0,0.6343966586705987,0.49641747832564664,0.012055902891465537,0.2524963194831568,3615.8614441789787,0.2271912749886252,1.1523206612314888e-15,-7.562224850321602e-16
0.9,1.12,3.943719783812427,0.40576864748818514,0.17787151375264926,0.08887615668178764,0.038959482511441455,0,0,0.6396658738889132,0.500813175734364,0.012235933926594661,0.25525614218471426,3687.751188140042,0.23170824081855576,1.8153116313334727e-15,-9.452781062902001e-16
0.92,1.1360000000000001,3.9592428654852636,0.4112771158401752,0.18147008074596707,0.09043726449499066,0.03990413533421103,0,0,0.6448960431920409,0.5051876729373167,0.012415875226994725,0.2580058992163381,3760.0363647998533,0.23625005241771385,1.8965301502712546e-15,-1.0398059169192203e-15
0.9400000000000001,1.1520000000000001,3.974572996473594,0.4167847053538755,0.18508814988376376,0.09200321004799389,0.040857314849622635,0,0,0.6500880241515926,0.5095405569739943,0.012595709133323765,0.2607457307944918,3832.7070732403854,0.24081608769307267,1.841065885671576e-15,-1.2084652482269503e-15
0.96,1.168,3.9897125751392544,0.42229144513572836,0.18872499419286845,0.09357387673241313,0.041818818605839525,0,0,0.6552426043475077,0.5138715175811099,0.012775418689093966,0.2634757730406456,3905.754109340499,0.24540576833264516,1.9160863560525773e-15,-1.0012444444444444e-15
0.98,1.184,4.004663970032631,0.42779737780399657,0.19237996580198266,0.09514915332357671,0.042788459705949806,0,0,0.6603605110112816,0.5181803297840537,0.012954987589167346,0.26619615817337294,3979.1688730084616,0.25001855397673123,2.1106504308268596e-15,-7.133170068027211e-16
1,1.2,4.0194295202632135,0.4333025569195557,0.19605248449424556,0.09672893342155726,0.04376606465143822,4,1,0.6654424191623833,1.1696575577000397,0.013134400135323564,0.12011635127571726,4052.9432898463897,0.2546539372959493,2.1733686258648648e-15,-7.86432e-16
1.02,1.2,4.055496710335975,0.5573476719939093,0.35224937792836136,0.12553677695605492,0.07934051546623314,4,1,0.45615041300621545,1.7026123041773669,0.01516481036622381,0.12033114756637238,5910.217865075806,0.3713499405207461,1.619191897349253e-15,-5.106746349094024e-16
1.04,1.2,4.091115588072345,0.6502839929653644,0.4793085227269485,0.14775614210480117,0.10890746037455884,4,1,0.3619451519807787,2.129250156633293,0.016669432435169138,0.12054177931126181,7404.128543252873,0.4652151167543545,1.9246453628151585e-15,-4.1479194322532504e-16
1.06,1.2,4.12629172595941,0.7232219730903416,0.5822106899645324,0.16574188391721978,0.1334261128421385,4,1,0.3085957501439927,2.477615445780717,0.01788304402008792,0.1207483579700917,8630.278242166716,0.5422563744805359,1.6982130507960436e-15,-3.2364271020094913e-16
